Instance name                                                                                                    | Checked answer | CPU time | Solver name  | Solver version
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf                   | UNSAT          | 4153.45  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf                   | UNKNOWN MO     | 2943.8   | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf                   | UNKNOWN TO     | 5000.2   | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 339.256  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 1714.37  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 2314.56  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 2323.62  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 2504.3   | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNSAT          | 3797.19  | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNKNOWN TO     | 5000.04  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | UNKNOWN TO     | 5000.25  | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf                   | SIGNAL         | 4502.17  | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 519.471  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 636.115  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 1204.68  | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 1331.6   | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 1591.43  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 3495.8   | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNSAT          | 4379.58  | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNKNOWN EXCODE | 4998.92  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n600-d0.02-s1676244754.sat05-535.reshuffled-07.cnf | UNKNOWN TO     | 5000.14  | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNSAT          | 1119.8   | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNSAT          | 1433.38  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNSAT          | 1784.63  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNSAT          | 3373.41  | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNKNOWN EXCODE | 4998.84  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNKNOWN TO     | 5000     | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNKNOWN TO     | 5000.03  | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNKNOWN TO     | 5000.11  | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-connm-ue-csp-sat-n800-d0.04-s362703357.sat05-548.reshuffled-07.cnf  | UNKNOWN TO     | 5000.3   | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNSAT          | 1734.2   | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNSAT          | 1749.07  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNSAT          | 2399.91  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNKNOWN TO     | 5000.01  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNKNOWN TO     | 5000.04  | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNKNOWN TO     | 5000.1   | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNKNOWN TO     | 5000.11  | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | UNKNOWN TO     | 5000.23  | MiraXT       | v3        
